"","version_0.4","version_0.5","version_0.6","filename"
"xfce4-clipman-settings",11,2,3,"xfce4-clipman-settings"
"xfce4-color-settings",28,11,11,"xfce4-color-settings"
"xfce4-display-settings",0,0,0,"xfce4-display-settings"
"xfce4-keyboard-settings",33,2,2,"xfce4-keyboard-settings"
"xfce4-mime-helper",17,1,2,"xfce4-mime-helper"
"xfce4-mime-settings",29,2,2,"xfce4-mime-settings"
"xfce4-mouse-settings",5,0,0,"xfce4-mouse-settings"
"xfce4-notifyd-config",3,1,1,"xfce4-notifyd-config"
"xfce4-panel",262,2,2,"xfce4-panel"
"xfce4-power-manager",0,0,0,"xfce4-power-manager"
"xfce4-power-manager-settings",8,3,8,"xfce4-power-manager-settings"
"xfce4-screenshooter",23,6,10,"xfce4-screenshooter"
"xfce4-session",0,0,0,"xfce4-session"
"xfce4-session-settings",44,14,23,"xfce4-session-settings"
"xfce4-settings-editor",0,0,0,"xfce4-settings-editor"
"xfce4-taskmanager",57,8,10,"xfce4-taskmanager"
"xfdesktop",0,0,0,"xfdesktop"
"xfdesktop-settings",50,7,13,"xfdesktop-settings"
"xfreerdp",215,25,28,"xfreerdp"
